,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster44.oracleGeneral.zst_5702089313,0.0358,0.0186,0.0322,0.0313,0.0392,0.0326,0.0298,0.0323,0.0307,0.0305,0.0301,0.0286,0.0279,0.0298,0.0305,0.0357,0.0284
cluster22.oracleGeneral.zst_2030691718,0.2644,0.1997,0.2601,0.2592,0.2665,0.2515,0.2434,0.2505,0.2675,0.2591,0.2564,0.2471,0.2356,0.244,0.249,0.2732,0.2431
cluster42.oracleGeneral.zst_3904264364,0.0186,0.0098,0.0181,0.0172,0.026,0.0072,0.0068,0.02,0.0079,0.0147,0.0113,0.0145,0.0141,0.0161,0.0182,0.0147,0.014
cluster43.oracleGeneral.zst_9038233795,0.0645,0.0496,0.0652,0.0657,0.0708,0.0685,0.0616,0.0649,0.064,0.0645,0.0701,0.0629,0.0622,0.0641,0.0661,0.0839,0.0628
cluster9.oracleGeneral.zst_10646675648,0.0069,0.003,0.0061,0.0056,0.0073,0.0058,0.0048,0.0055,0.0058,0.0053,0.0055,0.0049,0.0048,0.0053,0.0051,0.0051,0.0047
cluster8.oracleGeneral.zst_1302137879,0.4804,0.3942,0.4903,0.4804,0.4812,0.4392,0.3756,0.4797,0.3817,0.7111,0.4849,0.4946,0.4823,0.4775,0.473,0.5546,0.4879
cluster54.oracleGeneral.zst_11866133317,0.1501,0.0785,0.1504,0.1468,0.1876,0.1433,0.1207,0.1464,0.1309,0.1355,0.1431,0.1361,0.1345,0.1375,0.1432,0.1262,0.1376
cluster36.oracleGeneral.zst_5781263748,0.0609,0.0347,0.0621,0.0579,0.0667,0.0521,0.0439,0.0528,0.0499,0.0547,0.058,0.0522,0.0515,0.0549,0.0512,0.0481,0.0503
cluster10.oracleGeneral.zst_139150615,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
cluster49.oracleGeneral.zst_799295267,0.1462,0.1096,0.1528,0.1466,0.1642,0.146,0.1217,0.1989,0.1162,0.1539,0.1479,0.1491,0.1561,0.146,0.1583,0.1634,0.1689
cluster37.oracleGeneral.zst_3168270709,0.2215,0.22,0.2216,0.2222,0.2243,0.2212,0.2205,0.2218,0.2213,0.221,0.2211,0.2207,0.2214,0.2212,0.2227,0.2288,0.2206
cluster31.oracleGeneral.zst_1341176720,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.0029,0.0015,0.0028,0.0029,0.005,0.0029,0.0045,0.0068,0.0027,0.0026,0.0027,0.0026,0.0026,0.0028,0.0033,0.0083,0.0027
cluster2.oracleGeneral.zst_7226679214,0.0052,0.0028,0.0059,0.0054,0.0064,0.0054,0.0054,0.0057,0.0052,0.0052,0.0054,0.005,0.005,0.0052,0.0053,0.0053,0.0053
cluster33.oracleGeneral.zst_6705048996,0.008,0.0052,0.0075,0.0072,0.0085,0.0059,0.0051,0.0107,0.0057,0.0067,0.0068,0.0069,0.0069,0.0069,0.0078,0.0158,0.0073
cluster13.oracleGeneral.zst_825381985,0.6352,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.628,0.6279,0.6279,0.6279,0.6279,0.6279,0.628,0.6279
cluster29.oracleGeneral.zst_6920247859,0.0428,0.0365,0.0432,0.0449,0.0537,0.0414,0.038,0.0441,0.0472,0.0406,0.0406,0.0394,0.0403,0.0414,0.0452,0.0438,0.0395
cluster40.oracleGeneral.zst_3847885075,0.0864,0.0784,0.0883,0.0876,0.0911,0.0875,0.0858,0.0876,0.0869,0.0865,0.0891,0.0857,0.0878,0.0855,0.0931,0.1278,0.086
cluster53.oracleGeneral.zst_246508262,0.1108,0.0676,0.1091,0.1104,0.1294,0.0711,0.0589,0.1222,0.0706,0.0986,0.1077,0.1062,0.1058,0.1079,0.1037,0.0945,0.1075
cluster1.oracleGeneral.zst_6461081324,0.0091,0.0044,0.009,0.0093,0.0163,0.0102,0.0112,0.0132,0.008,0.0088,0.0088,0.0085,0.0085,0.009,0.0099,0.008,0.0087
