,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster22.oracleGeneral.zst_2030691718,0.2628,0.1998,0.2587,0.2576,0.2648,0.2503,0.2425,0.2492,0.266,0.2576,0.255,0.246,0.2348,0.243,0.2478,0.2715,0.2421
cluster42.oracleGeneral.zst_3904264364,0.0195,0.0086,0.0189,0.0198,0.0303,0.0717,0.0664,0.0257,0.031,0.0182,0.0199,0.0174,0.0167,0.0185,0.0189,0.0161,0.0173
cluster43.oracleGeneral.zst_9038233795,0.0022,0.0015,0.0023,0.0024,0.0043,0.0162,0.0051,0.0021,0.0062,0.0022,0.0025,0.0021,0.002,0.0022,0.0023,0.0025,0.002
cluster9.oracleGeneral.zst_10646675648,0.0038,0.0016,0.0033,0.0031,0.0046,0.0036,0.0027,0.003,0.0033,0.0029,0.003,0.0027,0.0026,0.0029,0.0028,0.0027,0.0025
cluster8.oracleGeneral.zst_1302137879,0.4415,0.3028,0.4507,0.4422,0.4448,0.4691,0.5362,0.4388,0.4572,0.7678,0.4462,0.4512,0.418,0.435,0.4111,0.5016,0.4315
cluster54.oracleGeneral.zst_11866133317,0.1133,0.0507,0.1103,0.1123,0.1555,0.1241,0.1095,0.1099,0.1217,0.1053,0.1086,0.1004,0.098,0.1051,0.1081,0.0968,0.1017
cluster36.oracleGeneral.zst_5781263748,0.079,0.0355,0.0803,0.0767,0.0868,0.0841,0.0726,0.0724,0.0773,0.0714,0.0748,0.0683,0.066,0.0729,0.0594,0.0585,0.0645
cluster10.oracleGeneral.zst_139150615,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.0569,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568
cluster49.oracleGeneral.zst_799295267,0.0637,0.0324,0.0683,0.0641,0.0853,0.123,0.1752,0.1068,0.1592,0.0758,0.065,0.0641,0.0699,0.0626,0.0735,0.0824,0.0796
cluster37.oracleGeneral.zst_3168270709,0.2271,0.2254,0.2262,0.2264,0.2275,0.2272,0.227,0.2262,0.2268,0.2264,0.2263,0.2259,0.226,0.226,0.2267,0.2299,0.2259
cluster31.oracleGeneral.zst_1341176720,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.0066,0.0031,0.0063,0.0066,0.0112,0.0081,0.0094,0.01,0.0072,0.0061,0.0064,0.006,0.0059,0.0064,0.0071,0.0095,0.0062
cluster2.oracleGeneral.zst_7226679214,0.0029,0.0014,0.0033,0.003,0.0039,0.0053,0.0087,0.0033,0.0031,0.0029,0.0033,0.0027,0.0027,0.0029,0.0029,0.003,0.0029
cluster33.oracleGeneral.zst_6705048996,0.034,0.0169,0.0322,0.032,0.0397,0.0357,0.036,0.0332,0.035,0.0298,0.0302,0.0286,0.0275,0.0299,0.0291,0.0291,0.029
cluster13.oracleGeneral.zst_825381985,0.8623,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8432,0.8426,0.8426,0.8426,0.8426,0.8426,0.8432,0.8427
cluster29.oracleGeneral.zst_6920247859,0.039,0.0334,0.0375,0.0377,0.0424,0.0424,0.0386,0.0374,0.0384,0.0366,0.0374,0.0361,0.0363,0.0366,0.0381,0.0405,0.0361
cluster40.oracleGeneral.zst_3847885075,0.0033,0.0029,0.0034,0.0034,0.0037,0.0038,0.0036,0.0033,0.0099,0.0033,0.0034,0.0032,0.0033,0.0032,0.0035,0.0047,0.0032
cluster53.oracleGeneral.zst_246508262,0.097,0.053,0.098,0.0954,0.1176,0.1139,0.107,0.1005,0.1323,0.0966,0.0928,0.0889,0.0886,0.092,0.091,0.0928,0.0893
cluster1.oracleGeneral.zst_6461081324,0.0058,0.0023,0.0055,0.0059,0.0128,0.0082,0.009,0.0087,0.007,0.0057,0.0055,0.0052,0.0052,0.0056,0.0065,0.0049,0.0053
